"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"        Margin of Error","±343"
"    Median income (dollars)",""
"        Estimate","49,562"
"        Margin of Error","±5,317"
"Webster County, Georgia",""
"    Number",""
"        Estimate","849"
"        Margin of Error","±137"
"    Percent Distribution",""
"        Estimate","849"
"        Margin of Error","±137"
"    Median income (dollars)",""
"        Estimate","40,764"
"        Margin of Error","±17,678"
"Wheeler County, Georgia",""
"    Number",""
"        Estimate","1,545"
"        Margin of Error","±159"
"    Percent Distribution",""
"        Estimate","1,545"
"        Margin of Error","±159"
"    Median income (dollars)",""
"        Estimate","45,262"
"        Margin of Error","±9,824"
"White County, Georgia",""
"    Number",""
"        Estimate","10,422"
"        Margin of Error","±384"
"    Percent Distribution",""
"        Estimate","10,422"
"        Margin of Error","±384"
"    Median income (dollars)",""
"        Estimate","69,747"
"        Margin of Error","±6,430"
"Whitfield County, Georgia",""
"    Number",""
"        Estimate","36,101"
"        Margin of Error","±506"
"    Percent Distribution",""
"        Estimate","36,101"
"        Margin of Error","±506"
"    Median income (dollars)",""
"        Estimate","64,262"
"        Margin of Error","±3,995"
"Wilcox County, Georgia",""
"    Number",""
"        Estimate","2,504"
"        Margin of Error","±154"
"    Percent Distribution",""
"        Estimate","2,504"
"        Margin of Error","±154"
"    Median income (dollars)",""
"        Estimate","48,036"
"        Margin of Error","±8,801"
"Wilkes County, Georgia",""
"    Number",""
"        Estimate","4,108"
"        Margin of Error","±186"
"    Percent Distribution",""
"        Estimate","4,108"
"        Margin of Error","±186"
"    Median income (dollars)",""
"        Estimate","52,542"
"        Margin of Error","±4,703"
"Wilkinson County, Georgia",""
"    Number",""
"        Estimate","3,347"
"        Margin of Error","±164"
"    Percent Distribution",""
"        Estimate","3,347"
"        Margin of Error","±164"
"    Median income (dollars)",""
"        Estimate","46,673"
"        Margin of Error","±6,138"
"Worth County, Georgia",""
"    Number",""
"        Estimate","7,876"
"        Margin of Error","±253"
"    Percent Distribution",""
"        Estimate","7,876"
"        Margin of Error","±253"
"    Median income (dollars)",""
"        Estimate","57,201"
"        Margin of Error","±4,385"
"Hawaii County, Hawaii",""
"    Number",""
"        Estimate","72,958"
"        Margin of Error","±1,042"
"    Percent Distribution",""
"        Estimate","72,958"
"        Margin of Error","±1,042"
"    Median income (dollars)",""
"        Estimate","77,215"
"        Margin of Error","±2,280"
"Honolulu County, Hawaii",""
"    Number",""
"        Estimate","337,061"
"        Margin of Error","±1,356"
"    Percent Distribution",""
"        Estimate","337,061"
"        Margin of Error","±1,356"
"    Median income (dollars)",""
